date_month,sub_month,viewing_sub_count,total_hours_viewed,median_unique_title_count,average_title_view_count,average_hours_viewed
2023-11-01 00:00:00.000000,104,17358,201667.883048,3.0,3.6305449936628644,11.6181520364
2024-05-01 00:00:00.000000,18,153750,2311305.514854,2.0,3.5365918699186993,15.0328813974
2023-12-01 00:00:00.000000,78,23337,305022.199600,3.0,4.091271371641599,13.0703260745
2022-03-01 00:00:00.000000,28,35632,504963.409280,3.0,3.928745825498835,14.1712291774
2023-05-01 00:00:00.000000,52,22540,269456.813766,2.0,3.216237799467613,11.9546057571
2022-09-01 00:00:00.000000,9,628361,9070558.416581,2.0,3.6261868158800183,14.4352434052
2022-05-01 00:00:00.000000,47,16893,230224.881378,3.0,3.8360956552622234,13.6276122516
2023-04-01 00:00:00.000000,86,7065,87900.573959,2.0,3.388818117480538,12.4416948279
2022-04-01 00:00:00.000000,29,34942,502427.672051,3.0,3.978021349054174,14.3784927468
2022-02-01 00:00:00.000000,7,575205,7672241.527479,3.0,3.9375754077669565,13.3382501703
2022-07-01 00:00:00.000000,48,18650,252424.725922,2.0,3.4663020749557663,13.5341121614
2022-04-01 00:00:00.000000,31,27967,386241.960947,3.0,3.9126859267734555,13.8101387638
2022-03-01 00:00:00.000000,55,21208,303148.493354,3.0,3.881842613984629,14.2933892854
2022-02-01 00:00:00.000000,36,45551,621298.369860,3.0,3.8547593958552864,13.6393214318
2022-01-01 00:00:00.000000,20,160725,5202339.529539,3.0,4.787495489217675,32.3677533787
2022-09-01 00:00:00.000000,12,378061,4735991.694293,2.0,3.3205373721770504,12.5270238593
2022-03-01 00:00:00.000000,37,44937,608169.481491,3.0,3.696003382438026,13.5335235545
2022-12-01 00:00:00.000000,14,397439,5586319.005472,3.0,4.084780092592593,14.0557543415
2023-02-01 00:00:00.000000,73,9224,116940.146757,2.0,3.372940156114484,12.6778129615
2022-08-01 00:00:00.000000,18,445983,5224982.566697,2.0,3.3968303795651864,11.7156278402
2022-07-01 00:00:00.000000,67,10341,136039.163490,2.0,3.461322761554825,13.1540479105
2023-03-01 00:00:00.000000,51,22277,287837.786205,2.0,3.3599066343477872,12.9202705003
2022-05-01 00:00:00.000000,56,12018,166646.131636,3.0,3.7953240702221485,13.8652243644
2022-12-01 00:00:00.000000,18,311728,4224795.285989,3.0,3.900551440514036,13.5527823398
2022-06-01 00:00:00.000000,19,406168,4370833.245894,2.0,3.2085560444051615,10.7611197455
