,date_month,sub_tenure_months,user_count,hours_viewed
1316,2022-01-01,82,28629,519809.009167
1317,2022-08-01,88,30594,377495.072500
1318,2022-10-01,54,19516,328939.902167
1319,2023-03-01,96,24477,350320.922500
1320,2023-02-01,60,12894,226296.572667
1321,2022-06-01,22,288776,5275034.008500
1322,2023-07-01,1,1363596,38167885.179667
1323,2023-01-01,88,5918,103339.181333
1324,2023-07-01,47,26734,542066.051000
1325,2024-01-01,87,11205,223390.105167
1326,2023-12-01,71,10468,222782.332500
1327,2023-11-01,68,14035,254863.312167
1328,2024-02-01,103,5436,93499.077000
1329,2024-03-01,1,350908,1171127.192333
1330,2022-01-01,30,43040,880093.434500
1331,2022-08-01,13,604496,11011406.337167
1332,2022-02-01,43,22624,396657.849000
1333,2022-12-01,36,40408,831626.239833
1334,2023-02-01,80,14268,241939.340333
1335,2022-09-01,48,15136,273640.147500
1336,2022-02-01,54,22495,407861.057000
1337,2022-09-01,61,21534,381472.599667
1338,2022-10-01,72,13725,200136.539500
1339,2022-11-01,53,16006,279393.677833
1340,2022-06-01,78,7022,103038.828167
1341,2023-06-01,40,52393,955279.410000
1342,2023-09-01,93,5225,93560.263000
1343,2023-11-01,96,4882,80336.806333
1344,2024-03-01,27,109780,317018.646833
1345,2022-01-01,12,818695,17294667.643667
1346,2022-09-01,16,581701,12918903.655667
1347,2023-02-01,61,12413,213853.007833
1348,2023-07-01,23,532824,9999701.939500
1349,2023-06-01,17,629087,12254440.516167
1350,2022-05-01,79,6785,101167.628833
1351,2022-03-01,77,6939,107903.270167
1352,2023-09-01,13,658403,13972903.194500
1353,2024-02-01,61,28192,595756.793667
1354,2024-01-01,58,101369,1995364.461333
1355,2023-12-01,70,10916,217137.096000
1356,2023-10-01,82,9625,171224.007833
1357,2024-03-01,107,9044,21016.020000
1358,2022-09-01,12,972110,18219570.411833
1359,2023-03-01,3,1225603,22559871.294667
1360,2022-12-01,0,1078466,7069637.165833
1361,2022-01-01,60,13314,249965.748833
1362,2022-09-01,33,41833,749260.047167
1363,2023-06-01,13,341849,7179072.759333
1364,2022-12-01,68,11911,225182.075000
1365,2023-04-01,41,33827,609550.427667
1366,2023-05-01,44,28370,460128.840500
1367,2023-12-01,38,167725,3976411.980000
1368,2024-02-01,64,11208,223952.704833
1369,2024-01-01,61,23207,512682.255333
1370,2023-02-01,40,33442,617732.253667
1371,2023-01-01,17,708254,12479334.302667
1372,2022-11-01,15,712443,11254444.063000
1373,2023-04-01,1,1387457,33449355.467667
1374,2023-08-01,31,382459,8678011.312000
1375,2023-04-01,62,12931,223341.520167
1376,2022-06-01,76,8132,120112.315833
1377,2022-12-01,89,7502,132694.838000
1378,2024-02-01,2,935217,22128122.800167
1379,2023-10-01,15,480521,9009094.342833
1380,2023-11-01,53,27976,538018.328000
1381,2023-11-01,24,414577,7916664.682500
1382,2024-03-01,34,73155,241406.483000
1383,2023-02-01,11,503861,8705022.727667
1384,2022-03-01,83,32842,428023.627667
1385,2022-09-01,60,12352,208652.861667
1386,2022-01-01,61,13199,266763.790833
1387,2022-02-01,83,26519,388929.790333
1388,2022-07-01,3,937485,17780892.737167
1389,2023-07-01,14,324132,7217256.513000
1390,2023-05-01,77,11033,177499.180000
1391,2023-08-01,55,29781,616803.455333
1392,2022-03-01,-6,189,718.145167
1393,2023-10-01,1,1260637,34440778.918000
1394,2023-11-01,15,621147,13534751.784000
1395,2024-01-01,44,217518,7020139.355000
1396,2024-01-01,18,445298,9322714.857667
1397,2024-01-01,95,6725,136524.626833
1398,2024-01-01,71,10707,228748.217667
1399,2023-10-01,98,4709,80301.699500
1400,2024-03-01,89,2711,6864.173667
1401,2023-02-01,9,476157,8850487.028000
1402,2023-01-01,46,127562,2105001.760833
1403,2022-11-01,29,213368,4568599.298500
1404,2022-11-01,13,596883,10358039.808167
1405,2022-08-01,87,11134,167551.763000
1406,2023-05-01,78,11974,186836.275333
1407,2023-04-01,92,6320,97320.277000
1408,2023-07-01,56,15753,300016.545167
1409,2023-08-01,75,10604,205427.296833
1410,2023-07-01,63,15940,321149.888167
1411,2024-01-01,35,348622,8007991.226167
1412,2024-01-01,6,464615,11554679.927833
1413,2023-11-01,64,16307,321673.790000
1414,2023-12-01,0,12567,225643.380667
1415,2023-10-01,96,5020,81983.055333
1416,2023-03-01,-2,82,418.168167
1417,2024-03-01,104,1288,2994.866500
1418,2022-05-01,2,1274012,23181147.599667
1419,2023-03-01,25,495665,8977208.357333
1420,2022-02-01,63,12865,222729.569667
1421,2022-10-01,39,35187,583472.054500
1422,2022-07-01,53,13895,219255.272000
1423,2022-05-01,60,12815,209517.522833
1424,2022-06-01,39,120945,1580367.153167
1425,2023-04-01,10,420491,8127605.112833
1426,2023-06-01,34,216263,4950016.835667
1427,2022-09-01,71,13455,208019.194500
1428,2022-11-01,85,6295,97708.462500
1429,2023-09-01,57,22323,418862.954833
1430,2023-09-01,71,8030,153751.668667
1431,2023-05-01,72,11971,192278.360667
1432,2023-11-01,27,454926,8564412.054167
1433,2023-11-01,85,11053,191017.646833
1434,2022-01-01,16,343658,7526899.512833
1435,2022-08-01,24,290810,5997180.002833
1436,2022-09-01,0,1147834,6017979.194000
1437,2022-10-01,71,12520,187961.656833
1438,2022-11-01,16,507887,9419754.422500
1439,2022-08-01,76,30690,567299.751833
1440,2022-07-01,31,41315,691778.227167
1441,2022-04-01,77,6790,100850.100167
1442,2023-12-01,9,452719,9956956.213167
1443,2023-05-01,46,32598,549859.715667
1444,2023-08-01,25,335951,7437101.746833
1445,2023-06-01,73,10893,208675.393333
1446,2023-06-01,71,35780,692100.204167
1447,2022-06-01,-1,720,6335.787833
1448,2023-11-01,29,290728,6054376.475167
1449,2023-10-01,28,299660,6112438.952333
1450,2023-11-01,76,32989,646338.446333
1451,2022-01-01,-12,260,1021.318333
1452,2022-01-01,37,32606,662044.720333
1453,2022-03-01,17,292826,5733729.213000
1454,2022-07-01,1,1264808,30425873.714833
1455,2022-07-01,13,567664,9092502.180167
1456,2023-01-01,87,6321,101964.287667
1457,2022-11-01,58,13089,225761.720000
1458,2023-09-01,32,361296,7923395.226500
1459,2023-08-01,83,9956,186962.920333
1460,2023-10-01,25,530670,11240434.539833
1461,2023-10-01,53,40238,710580.982667
1462,2024-03-01,86,2103,5330.350167
1463,2022-01-01,-13,196,672.635167
1464,2022-01-01,67,17086,343254.462833
1465,2022-03-01,25,72788,1181160.447000
1466,2022-09-01,63,32228,477634.869333
1467,2022-11-01,59,11091,193582.602333
1468,2022-08-01,66,11426,189391.108500
1469,2022-11-01,92,24878,371101.166333
1470,2022-08-01,67,11773,183965.425500
1471,2023-05-01,15,462692,7860173.484333
1472,2023-02-01,87,5871,87289.344833
1473,2023-05-01,89,6717,105822.007333
1474,2024-02-01,54,23907,492103.303000
1475,2024-01-01,82,9599,201767.904167
1476,2023-01-01,27,226311,5101684.964500
1477,2023-01-01,11,601572,11602161.797500
1478,2023-01-01,61,11514,217089.945500
1479,2022-04-01,84,32035,409909.951667
1480,2022-03-01,57,32917,512116.452333
1481,2022-09-01,57,11813,201338.443167
1482,2023-07-01,31,721605,17487798.035000
1483,2022-12-01,60,11462,221925.606833
1484,2023-11-01,40,146431,3458444.627833
1485,2024-01-01,36,337180,8595869.100833
1486,2023-11-01,87,8455,156060.050667
1487,2024-02-01,98,5247,100947.977833
1488,2022-12-01,-4,101,111.976667
1489,2023-04-01,-4,1,58.199500
1490,2022-10-01,-5,142,439.264333
1491,2022-03-01,-19,1,0.967000
1492,2022-03-01,-17,2,41.561167
1493,2024-02-01,10,402381,8282113.842833
1494,2023-03-01,50,35086,642730.432167
1495,2022-09-01,87,9987,137883.370500
1496,2023-01-01,94,25539,429034.757500
1497,2022-01-01,48,16258,316403.203333
1498,2023-05-01,1,1447734,30924706.118500
1499,2022-05-01,82,8064,119574.104833
1500,2023-06-01,24,356671,7003009.264833
1501,2024-01-01,10,423867,10147438.200000
1502,2023-07-01,15,358639,7850045.210500
1503,2023-04-01,89,6108,89678.114167
1504,2022-03-01,73,8924,143403.125833
1505,2022-02-01,21,346466,9347440.923167
1506,2022-02-01,4,1074447,19215197.973833
1507,2023-02-01,10,515922,9710420.670333
1508,2022-01-01,1,3566193,86963613.690000
1509,2022-01-01,41,24474,518087.052000
1510,2022-12-01,57,17551,317830.927500
1511,2022-08-01,65,11977,189062.010000
1512,2023-09-01,6,527609,11234386.475000
1513,2023-09-01,66,13956,241037.196500
1514,2023-12-01,14,477953,9431813.158000
1515,2023-06-01,77,9890,179220.995667
1516,2023-12-01,45,68306,1625281.041667
1517,2023-07-01,85,12704,237401.936167
1518,2022-04-01,79,6315,97995.332000
1519,2022-01-01,18,266085,6497858.699833
1520,2023-02-01,17,730958,14233472.225333
1521,2024-02-01,36,324653,6640757.779667
1522,2022-12-01,39,29869,581502.391333
1523,2023-05-01,7,809594,12996657.849833
1524,2023-04-01,91,5684,87498.851667
1525,2023-08-01,94,5023,87181.529833
1526,2023-11-01,66,11921,234020.052000
1527,2023-11-01,89,12036,224367.577500
1528,2022-08-01,-4,203,928.244500
1529,2023-02-01,6,1223870,23000374.949000
1530,2022-01-01,45,22313,471434.455833
1531,2022-04-01,11,733652,15456023.479833
1532,2023-01-01,66,39184,762625.726667
1533,2022-11-01,67,11420,189080.770333
1534,2022-07-01,68,11872,177602.061167
1535,2022-11-01,68,11428,186147.007333
1536,2022-06-01,82,6561,91797.797333
1537,2023-01-01,86,6435,104793.412167
1538,2023-12-01,63,11425,247397.510833
1539,2022-02-01,2,2756941,50830478.475667
1540,2022-03-01,34,63929,957731.320333
1541,2022-10-01,46,29688,468497.079167
1542,2022-10-01,52,17208,275499.358000
1543,2022-12-01,64,20337,397194.553667
1544,2022-04-01,70,15738,263967.185000
1545,2022-12-01,71,11395,204827.263000
1546,2022-05-01,58,41086,693291.362500
1547,2023-07-01,9,659736,12541843.111333
1548,2023-10-01,77,10287,192946.170333
1549,2023-10-01,16,282105,6027305.775500
1550,2023-11-01,92,17458,248989.170667
1551,2022-07-01,-3,316,3016.336000
1552,2022-02-01,19,245631,5307475.162000
1553,2022-08-01,21,715323,11255319.532333
1554,2022-08-01,3,849667,16712762.044333
1555,2024-02-01,26,554181,11919539.233333
1556,2023-01-01,45,139131,2984250.912333
1557,2022-10-01,44,48650,764216.222667
1558,2022-08-01,89,27110,395941.113167
1559,2022-10-01,65,12519,199308.781333
1560,2022-03-01,53,13025,216609.808833
1561,2023-02-01,-1,29675,275013.540167
1562,2022-06-01,54,11355,170693.043500
1563,2022-04-01,47,16360,274556.620333
1564,2022-12-01,61,11468,238259.815500
1565,2023-09-01,30,556580,13837302.517333
1566,2023-11-01,2,791045,19312111.685333
1567,2023-05-01,94,7159,105989.774167
1568,2023-04-01,59,14071,245479.995833
1569,2024-03-01,83,2375,6061.665000
1570,2022-02-01,18,338758,7095866.894500
1571,2023-02-01,31,181700,3906137.263000
1572,2023-03-01,15,925723,17243623.627833
1573,2023-01-01,25,885908,21805671.826833
1574,2022-09-01,35,37174,677709.727167
1575,2023-02-01,66,19574,348882.065000
1576,2023-03-01,72,11127,178581.628167
1577,2022-05-01,44,15755,271411.709167
1578,2022-12-01,72,11356,218600.173667
1579,2023-12-01,16,624684,13887800.685000
1580,2023-09-01,0,10091,277687.538333
1581,2023-12-01,10,452659,9598808.234167
