Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
MAX-AQ-002685,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,3/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng
Do not use 1734,GXXAjPwFDJqnCVgEAAAGx,GXXAjPwFDJqnCVgEAAAGx,,,,title,MOULIN ROUGE!,Movies Acquired,FOX,Committed,10/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 3318,GYJqZwwxi28PCKwEAAAAR,GYJqZwwxi28PCKwEAAAAR,,,,title,MOUSEHUNT,Movies Acquired,PARAMOUNT,Committed,7/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 5380,GYJqZwwxi28PCKwEAAAAR,GYJqZwwxi28PCKwEAAAAR,,,,title,MOUSEHUNT,Movies Acquired,PARAMOUNT,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 5036,GYFEk3AUD68LCwwEAAAAC,GYFEk3AUD68LCwwEAAAAC,,,,title,MOVIE 43,Movies Acquired,RELATIVITY,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 3574,GYFEk3AUD68LCwwEAAAAC,GYFEk3AUD68LCwwEAAAAC,,,,title,MOVIE 43,Movies Acquired,RELATIVITY,Committed,5/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Joe
MAX-AQ-002686,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,12/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng
MAX-AQ-003102,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,5/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng
MAX-AQ-001278,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng
HBO-OP-001237,,,,,,,Pelosi Doc TBD,Documentary Feature Original,,Uncommitted,,,Pelosi Doc TBD,No,HBO OP,2024,,,11/3/23,0,Mei-Cheng
Do not use 1415,GW6PCCAdt_MPDSgEAAAE_,GW6PCCAdt_MPDSgEAAAE_,,,,title,MR. MAGOO,Movies Acquired,DISNEY,Committed,11/1/18,,,,HBO Acquired,2018,,,11/3/23,0,Joe
MAX-AQ-004087,,,,,,,Pennyworth S1-2,Drama Series Original,WB,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng
MAX-OP-000272,,,,,,,Pennyworth: The Origin of Batman's Butler S3,Drama Series Original,WBTV,Committed,,,DTC1258,No,Max OP,2022,,,11/3/23,0,Mei-Cheng
MAX-AQ-002190,,,,,,,"People v. The Klan, The",Documentary Series Acquired,CNN,Committed,9/18/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng
MAX-OP-000080,,,,,,,Perfect Life S1,International Content Original,MOVISTAR+,Committed,,,DTC1155,No,Max OP,2021,,,11/3/23,0,Mei-Cheng
MAX-OP-000159,,,,,,,Perfect Life S2,International Content Original,MOVISTAR+,Committed,,,DTC1228,No,Max OP,2021,,,11/3/23,0,Mei-Cheng
Do not use 2849,GWtYjVwmsari8vQEAAAD4,GWtYjVwmsari8vQEAAAD4,,,,title,MR. MOM,Movies Acquired,MGM,Committed,11/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Joe
Do not use 5002,GYPrfXwkezAumwwEAAAAJ,GYPrfXwkezAumwwEAAAAJ,,,,title,MR. NOBODY,Movies Acquired,MAGNOLIA,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 4122,GYPrfXwkezAumwwEAAAAJ,GYPrfXwkezAumwwEAAAAJ,,,,title,MR. NOBODY,Movies Acquired,MAGNOLIA,Committed,9/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 4341,GYPrfXwkezAumwwEAAAAJ,GYPrfXwkezAumwwEAAAAJ,,,,title,MR. NOBODY,Movies Acquired,MAGNOLIA,Committed,4/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Joe
MAX-AQ-001279,,,,,,,"Perfect Murder, A",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng
MAX-AQ-000640,,,,,,,"Perfect Murder, A",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng
MAX-AQ-000641,,,,,,,"Perfect Storm, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng
MAX-AQ-002300,GYEfQTgBCvcJgsQEAAAAV,GYEfQTgBCvcJgsQEAAAAV,,,,title,MR. SMITH GOES TO WASHINGTON,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,4/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
Do not use 3920,GXYT0VgbDicPCwgEAAAfy,GXYT0VgbDicPCwgEAAAfy,,,,title,MR. WONDERFUL,Movies Acquired,WARNER BROS.,Committed,12/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 1761,GXdcWngMJg5uAuwEAACwu,GXdcWngMJg5uAuwEAACwu,,,,title,MRS. DOUBTFIRE,Movies Acquired,FOX,Committed,1/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Joe
Do not use 5037,GXdcWngMJg5uAuwEAACwu,GXdcWngMJg5uAuwEAACwu,,,,title,MRS. DOUBTFIRE,Movies Acquired,FOX,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Joe
Do not use 4406,GYF43PAGdrLbDRgEAAAAC,GYF43PAGdrLbDRgEAAAAC,,,,title,MRS. WINTERBOURNE,Movies Acquired,SONY,Committed,7/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Joe
Do not use 2784,GYLjX9gxatROiiQEAAAaB,GYLjX9gxatROiiQEAAAaB,,,,title,MUCH ADO ABOUT NOTHING,Movies Acquired,MGM,Committed,8/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 2134,GYLjX9gxatROiiQEAAAaB,GYLjX9gxatROiiQEAAAaB,,,,title,MUCH ADO ABOUT NOTHING,Movies Acquired,LIONS GATE,Committed,5/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Joe
Do not use 5420,GYLjX9gxatROiiQEAAAaB,GYLjX9gxatROiiQEAAAaB,,,,title,MUCH ADO ABOUT NOTHING,Movies Acquired,LIONS GATE,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Joe
MAX-AQ-005114,,,,,,,"Perfect Storm, The",Movies Acquired,WB,Committed,3/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng
Do not use 2349,GX_caow7SHK3CwwEAAAAD,GX_caow7SHK3CwwEAAAAD,,,,title,MUD,Movies Acquired,LIONS GATE,Committed,4/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Joe
MAX-AQ-000270,GX_caow7SHK3CwwEAAAAD,GX_caow7SHK3CwwEAAAAD,,,,title,MUD,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,1/12/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
MAX-AQ-001280,,,,,,,"Perfect Storm, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng
MAX-AQ-000272,GX-oc1A6TUbAcSAEAAAAi,GX-oc1A6TUbAcSAEAAAAi,,,,title,MULHOLLAND DR.,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,1/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
Do not use 2634,GXWVAow8fJ4WtLQEAAAhy,GXWVAow8fJ4WtLQEAAAhy,,,,title,MULHOLLAND FALLS,Movies Acquired,MGM,Committed,11/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 4595,GXWVAow8fJ4WtLQEAAAhy,GXWVAow8fJ4WtLQEAAAhy,,,,title,MULHOLLAND FALLS,Movies Acquired,MGM,Committed,,,,,HBO Acquired,2019,,,11/3/23,0,Joe
MAX-AQ-004223,GYbvp4Q3RwcLDSwEAAAAL,GYbvp4Q3RwcLDSwEAAAAL,,,,title,MUPPETS FROM SPACE,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Joe
MAX-AQ-005115,,,,,,,"Perfect Storm, The",Movies Acquired,WB,Committed,5/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng
Do not use 4010,GYfhfBg5BDMNswgEAAABa,GYfhfBg5BDMNswgEAAABa,,,,title,MURDER IN THE FIRST,Movies Acquired,WARNER BROS.,Committed,4/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Joe
Do not use 893,GXrxVKANEvrGGtAEAAAAz,GXrxVKANEvrGGtAEAAAAz,,,,title,MURDER ON THE ORIENT EXPRESS,Movies Acquired,3RD-PARTY,Committed,2/1/26,,,,HBO Acquired,2026,,,11/3/23,0,Joe
Do not use 3253,GXrxVKANEvrGGtAEAAAAz,GXrxVKANEvrGGtAEAAAAz,,,,title,MURDER ON THE ORIENT EXPRESS,Movies Acquired,PARAMOUNT,Committed,8/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Joe
MAX-AQ-006582,,,,,,,"Perfect Storm, The",Movies Acquired,WB,Committed,7/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Mei-Cheng
MAX-AQ-005116,,,,,,,"Perfect Storm, The",Movies Acquired,WB,Committed,10/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng
