,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
61,MAX-AQ-005077,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
62,MAX-AQ-005078,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,12/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
63,MAX-AQ-006236,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,2/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
64,MAX-AQ-006237,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,4/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
65,MAX-AQ-003380,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,6/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
66,MAX-AQ-003381,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,7/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
67,MAX-AQ-003382,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,8/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
68,MAX-AQ-004029,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,2/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
69,MAX-AQ-003978,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
70,MAX-AQ-006246,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,4/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
71,MAX-AQ-007024,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,5/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
72,MAX-AQ-006245,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,1/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
73,MAX-AQ-004539,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,4/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
74,MAX-AQ-004541,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,11/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
75,MAX-AQ-003818,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
76,MAX-AQ-004540,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,5/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
77,MAX-AQ-001139,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
78,MAX-AQ-003725,GYL_Z7AW4ppXCCQEAAADa,,,,,,"Hangover, The",Movies Acquired,WB,Committed,8/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
79,MAX-AQ-005507,GYkXcyACSDmPDegEAAAAv,,,,,,Hank Zipzer - S1-S3 - HBOMax - K&F,Kids Content Acquired,DHX WORLDWIDE (U) LIMITED (INT'L - 0%) - #2,Committed,5/13/22,,,Yes,Max Acquired,2022.0,,,11/3/23,0,Tiffany
80,MAX-AQ-002232,GYEaW8A10o7mmigEAAAA6,,,,,,Happy Endings (2011),Comedy Series Acquired,SONY PICTURES TELEVISION INC.,Committed,4/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
81,MAX-OP-000165,GYbzrRAvf-ZPCKQEAAAAX,,,,,,Harry Potter 20th Anniversary:  Return to Hogwarts,Kids Content Original,WB,Committed,,,DTC1300,No,Max OP,2022.0,,,11/3/23,0,Tiffany
82,MAX-AQ-000331,GXssMIAadRcNMvwEAAAA7,,,,,,Harry Potter and the Chamber of Secrets�(2002),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
83,MAX-AQ-000331,GYjteqQyjLcPCDgEAAAAZ,,,,,,Harry Potter and the Chamber of Secrets�(2002),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
84,MAX-AQ-000336,GXssRwQESq8NMvwEAAABY,,,,,,Harry Potter and the Deathly Hallows � Part 1�(2010),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
85,MAX-AQ-000336,GXssRwQHfmVVGwwEAAABi,,,,,,Harry Potter and the Deathly Hallows � Part 1�(2010),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
86,MAX-AQ-000337,GXssRwQESq8NMvwEAAABY,,,,,,Harry Potter and the Deathly Hallows � Part 2�(2011),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
87,MAX-AQ-000337,GXssRwQHfmVVGwwEAAABi,,,,,,Harry Potter and the Deathly Hallows � Part 2�(2011),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
88,MAX-AQ-000333,GXssOeAtVmlVGwwEAAABR,,,,,,Harry Potter and the Goblet of Fire�(2005),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
89,MAX-AQ-000335,GXssQ0A7HLFVGwwEAAABc,,,,,,Harry Potter and the Half-Blood Prince�(2009),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
90,MAX-AQ-000334,GXssPaAiBJ1VGwwEAAABW,,,,,,Harry Potter and the Order of the Phoenix�(2007),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
91,MAX-AQ-000332,GXssObwqZrVVGwwEAAABI,,,,,,Harry Potter and the Prisoner of Azkaban�(2004),Movies Acquired,WB,Committed,6/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
92,MAX-AQ-001925,GXyNIuAsYb8J6pQEAAAJR,,,,,,"Harvey Birdman, Attorney At Law",Adult Animation Acquired,AS,Committed,9/1/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
