,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
7525,MAX-AQ-002308,,,,,,,"PEOPLE VS. LARRY FLYNT, THE",Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,4/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,PEOPLE VS.
7526,MAX-AQ-002309,,,,,,,"PEPI, LUCI, BOM Y OTRAS CHICAS DEL MONT�N",Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,4/30/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,"PEPI, LUCI,"
7527,Do not use 719,,,,,,,PEPITO (2019 LATINX SHORT FILM COMPETITION WINNER),Movies Acquired,3RD PARTY,Committed,4/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,PEPITO
7528,Do not use 806,,,,,,,PERCY JACKSON SEA OF MONSTERS,Movies Acquired,3RD-PARTY,Committed,12/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Mei-Cheng,PERCY JACKSON
7529,MAX-AQ-000282,,,,,,,"PERKS OF BEING A WALLFLOWER, THE",Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,5/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,PERKS OF
7530,Do not use 5735,,,,,,,"PERSONAL HISTORY OF DAVID COPPERFIELD, THE - 0645197_12-114",Movies Acquired,FOX,Committed,5/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Mei-Cheng,PERSONAL HISTORY
7531,MAX-AQ-000147,,,,,,,PET SEMATARY (1989),Movies Acquired,PARAMOUNT PICTURES,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng,PET SEMATARY
7532,Do not use 3528,,,,,,,PET SEMATARY II,Movies Acquired,PARAMOUNT,Committed,10/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PET SEMATARY II
7533,Do not use 4618,,,,,,,PHANTOMS,Movies Acquired,MIRAMAX,Committed,,,,,HBO Acquired,2019,,,11/3/23,0,Mei-Cheng,PHANTOMS
7578,Do not use 1416,,,,,,,PHENOMENON,Movies Acquired,DISNEY,Committed,11/1/18,,,,HBO Acquired,2018,,,11/3/23,0,Mei-Cheng,PHENOMENON
7579,Do not use 2576,,,,,,,PHILOMENA,Movies Acquired,LIONS GATE,Committed,9/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PHILOMENA
7582,MAX-AQ-005713,,,,,,,PIANO Y MUJER 2,Drama Series Acquired,SONY MUSIC ENTERTAINMENT US LATIN LLC,Committed,11/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,PIANO Y
7583,Do not use 508,,,,,,,PICO DE NEBLINA (EPS 1-10),Movies Acquired,INTERCOMPANY,Committed,8/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Mei-Cheng,PICO DE
7585,Do not use 514,,,,,,,PICO DE NEBLINA S2 (EPS 11-20),Movies Acquired,INTERCOMPANY,Committed,8/2/22,,,,HBO Acquired,2022,,,11/3/23,0,Mei-Cheng,PICO DE
7586,Do not use 5970,,,,,,,PIGEON IMPOSSIBLE - 0623176_12-114,Movies Acquired,FOX,Committed,9/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,PIGEON IMPOSSIBLE
7587,MAX-AQ-004232,,,,,,,"PIRATES! BAND OF MISFITS, THE",Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,PIRATES! BAND
7602,Do not use 1141,,,,,,,PITCH PERFECT 3,Movies Acquired,3RD-PARTY,Committed,5/1/26,,,,HBO Acquired,2026,,,11/3/23,0,Mei-Cheng,PITCH PERFECT
7614,Do not use 5652,,,,,,,PLANET OF THE APES x,Movies Acquired,FOX,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,PLANET OF
7615,Do not use 5793,,,,,,,POINT BREAK 2015,Movies Acquired,WB,Committed,10/15/21,,,,HBO Acquired,2021,,,11/3/23,0,Mei-Cheng,POINT BREAK
7616,Do not use 4529,,,,,,,POINT BREAK 2015 - 0601533_13-108,Movies Acquired,WB,Committed,8/15/16,,,,HBO Acquired,2016,,,11/3/23,0,Mei-Cheng,POINT BREAK
7622,Do not use 1312,,,,,,,POKEMON DETECTIVE PIKACHU,Movies Acquired,INTERCOMPANY,Committed,6/23/27,,,,HBO Acquired,2027,,,11/3/23,0,Mei-Cheng,POKEMON DETECTIVE PIKACHU
7624,Do not use 5898,,,,,,,POK�MON DETECTIVE PIKACHU - 0634593_13-108.2,Movies Acquired,WB,Committed,12/23/19,,,,HBO Acquired,2019,,,11/3/23,0,Mei-Cheng,DETECTIVE
