,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
5094,MAX-AQ-007843,,,,,,,"Grim Adventures of Billy & Mandy, The",Kids Content Acquired,CN,Committed,1/1/24,,,Yes,Max Acquired,2024,,,11/3/23,0,Tiffany,Grim Adventures of Billy
5095,MAX-AQ-007859,,,,,,,"Grim Adventures of Billy & Mandy, The",Kids Content Acquired,CN,Uncommitted,1/1/25,,,Yes,Max Acquired,2025,,,11/3/23,0,Tiffany,Grim Adventures of Billy
5096,MAX-AQ-007315,,,,,,,"Grim Adventures of Billy & Mandy, The",Kids Content Acquired,CN,Uncommitted,1/1/26,,,Yes,Max Acquired,2026,,,11/3/23,0,Tiffany,Grim Adventures of Billy
5097,MAX-AQ-001978,,,,,,,"Grim Adventures of Billy and Mandy, The",Kids Content Acquired,CN,Committed,1/1/21,,,Yes,Max Acquired,2021,,,11/3/23,0,Tiffany,Grim Adventures of Billy
5112,MAX-AQ-002202,,,,,,,Gumball - Darwin's Yearbook,Kids Content Acquired,CN,Committed,11/1/21,,,Yes,Max Acquired,2021,,,11/3/23,0,Tiffany,Gumball
5116,MAX-AQ-006233,,,,,,,"Guy Named Joe, A",Movies Acquired,WB,Committed,2/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Guy Named Joe
5117,MAX-AQ-000821,,,,,,,"Guy Named Joe, A",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Guy Named Joe
5118,MAX-AQ-000080,,,,,,,Guys And Dolls (Library),Movies Acquired,MIRAMAX FILMS/FILMYARD HOLDINGS,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Guys And Dolls
5122,MAX-OP-000158,,,,,,,HA Comedy Festival #2,Special Original,NCP,Committed,,,DTC1242,No,Max OP,2021,,,11/3/23,0,Tiffany,HA Comedy 
5124,Do not use 673,,,,,,,HABLA LOUD (HABLA NOW) [0652081_21-170],Movies Acquired,3RD PARTY,Committed,10/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Tiffany,HABLA LOUD
